TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_0.jpg,aphids,0.079009434,0.162222222,,,0.89504717,0.924444444,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1.jpg,aphids,0.22,0.446215139,,,0.344615385,0.605577689,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_10.jpg,aphids,0.176666667,0.233333333,,,0.36,0.414285714,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_100.jpg,aphids,0.4475,0.194548872,,,0.7075,0.456766917,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1000.jpg,aphids,0.200265252,0.05840708,,,0.842175066,0.805309735,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1001.jpg,aphids,0.175066313,0.171681416,,,0.908488064,0.920353982,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1002.jpg,aphids,0.379166667,0.400318979,,,0.66,0.704944179,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1003.jpg,aphids,0.386666667,0.325358852,,,0.684166667,0.703349282,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1004.jpg,aphids,0.586288416,0.25,,,0.841607565,0.575,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1005.jpg,aphids,0.602857143,0.582524272,,,0.634285714,0.614886731,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1006.jpg,aphids,0.739259259,0.736666667,,,0.902222222,0.888888889,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1007.jpg,aphids,0.312592593,0.293333333,,,0.478518519,0.45,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1008.jpg,aphids,0.863333333,0.445623342,,,0.905,0.533156499,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1009.jpg,aphids,0.794074074,0.793333333,,,0.964444444,0.97,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_101.jpg,aphids,0.463414634,0.453831041,,,0.49941928,0.514734774,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1010.jpg,aphids,0.326,0.3075,,,0.47,0.465,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1011.jpg,aphids,0.6275,0.496845426,,,0.8925,0.802839117,,
TRAINING,/content/drive/MyDrive/GrowPro Thesis Folder/pests/aphids_1012.jpg,aphids,0.221111111,0.24,,,0.714444444,0.751111111,,
